brand,product_name,shipping 
Asus, ASUS GeForce GTX 1050 Ti 4GB PHOENIX Fan Edition DVI-D HDMI DP 1.4 Gaming Graphics Card (PH-GTX1050Ti-4G), 3.99
Asus, ASUS TUF Gaming GeForce GTX 1650 TUF-GTX1650-O4GD6-P-GAMING 4GB 128-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card, 3.99
Msi, MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti GAMING X 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card, Free
Msi, MSI GeForce GTX 1660 DirectX 12 GTX 1660 GAMING X 6G 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card, Free
Msi, MSI GeForce GTX 1660 Ti DirectX 12 GTX 1660 TI VENTUS XS 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card, Free
Evga, EVGA GeForce GTX 1660 Ti SC ULTRA GAMING| 06G-P4-1667-KR| 6GB GDDR6| Dual Fan| Metal Backplate, Free
Msi, MSI GeForce GT 730 DirectX 12 N730K-2GD5LP/OC 2GB 64-Bit GDDR5 PCI Express 2.0 x16 HDCP Ready Video Card, Free
Msi, MSI GeForce GTX 1660 Ti DirectX 12 GTX 1660 TI GAMING X 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card, Free
Asus, ASUS GeForce GTX 1660 Super Overclocked 6GB Dual-fan EVO Edition VR Ready HDMI DisplayPort DVI Graphics Card (DUAL-GTX1660S-O6G-EVO), 43.00
Msi, MSI GeForce GTX 1660 Ti DirectX 12 GTX 1660 Ti GAMING 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card, Free
Gigabyte, GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TOC-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Cards, Free
Evga, EVGA GeForce GTX 1650 SUPER SC ULTRA GAMING Video Card| 04G-P4-1357-KR| 4GB GDDR6| Dual Fan| Metal Backplate, Free
Evga, EVGA GeForce GTX 1650 KO ULTRA GDDR6 GAMING| 04G-P4-1457-KR| 4GB GDDR6| Dual Fan| Metal Backplate, 3.99
Evga, EVGA GeForce GTX 1660 BLACK GAMING Video Card| 06G-P4-1160-KR| 6GB GDDR5| Single Fan, 3.99
Evga, EVGA GeForce GTX 1060 6GB SSC GAMING ACX 3.0| 6GB GDDR5| LED| DX12 OSD Support (PXOC)| 06G-P4-6267-KR, Free
Gigabyte, GIGABYTE GeForce GTX 1650 DirectX 12 GV-N1656WF2OC-4GD (rev. 2.0) 4GB 128-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card, Free
Asus, ASUS GeForce GTX 1650 SUPER Overclocked 4GB Phoenix Fan Edition HDMI DP DVI Graphics Card (PH-GTX1650S-O4G), 12.99
Asus, ASUS Phoenix GeForce GTX 1650 PH-GTX1650-O4GD6 4GB 128-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card, 3.99
Msi, MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 TI 4GT LP 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Low Profile Video Card, 3.99
